sale_line_id,sale_date,store_id,product_id,quantity,unit_price,promotion_code,payment_method,source_branch,product_name,category,store_name,city,region,discount_pct,campaign_name,start_date,end_date,gross_sales,discount_amount,net_sales,month,week,day_name,sales_target
L00032,2026-03-23,S01,P006,1,165000,,Card,Cali,Bluetooth Speaker,Electronics,Cali Norte,Cali,Southwest,0.0,,,,165000,0.0,165000.0,2026-03,13,Monday,20500000
L00033,2026-02-26,S01,P002,2,285000,,Transfer,Cali,Coffee Maker Premium,Small Appliances,Cali Norte,Cali,Southwest,0.0,,,,570000,0.0,570000.0,2026-02,9,Thursday,19500000
L00034,2026-02-12,S01,P012,1,35000,,Card,Cali,Notebook Pack,Home & Office,Cali Norte,Cali,Southwest,0.0,,,,35000,0.0,35000.0,2026-02,7,Thursday,19500000
L00035,2026-02-26,S01,P004,2,390000,,Cash,Cali,Air Fryer 4L,Small Appliances,Cali Norte,Cali,Southwest,0.0,,,,780000,0.0,780000.0,2026-02,9,Thursday,19500000
L00036,2026-02-05,S01,P012,2,35000,,Card,Cali,Notebook Pack,Home & Office,Cali Norte,Cali,Southwest,0.0,,,,70000,0.0,70000.0,2026-02,6,Thursday,19500000
L00037,2026-04-01,S01,P004,1,390000,,Transfer,Cali,Air Fryer 4L,Small Appliances,Cali Norte,Cali,Southwest,0.0,,,,390000,0.0,390000.0,2026-04,14,Wednesday,21500000
L00038,2026-02-21,S01,P010,2,115000,,Cash,Cali,Ergonomic Mouse,Home & Office,Cali Norte,Cali,Southwest,0.0,,,,230000,0.0,230000.0,2026-02,8,Saturday,19500000
L00039,2026-04-25,S01,P006,1,165000,,Transfer,Cali,Bluetooth Speaker,Electronics,Cali Norte,Cali,Southwest,0.0,,,,165000,0.0,165000.0,2026-04,17,Saturday,21500000
L00040,2026-04-05,S01,P001,2,145000,,Transfer,Cali,Coffee Maker Basic,Small Appliances,Cali Norte,Cali,Southwest,0.0,,,,290000,0.0,290000.0,2026-04,14,Sunday,21500000
L00041,2026-04-10,S01,P008,2,78000,,Card,Cali,USB-C Charger,Electronics,Cali Norte,Cali,Southwest,0.0,,,,156000,0.0,156000.0,2026-04,15,Friday,21500000
L00042,2026-03-09,S01,P013,1,135000,,Card,Cali,Hair Dryer,Personal Care,Cali Norte,Cali,Southwest,0.0,,,,135000,0.0,135000.0,2026-03,11,Monday,20500000
L00043,2026-02-20,S01,P001,3,145000,PROMO10,Card,Cali,Coffee Maker Basic,Small Appliances,Cali Norte,Cali,Southwest,0.1,Coffee Week,2026-02-10,2026-02-28,435000,43500.0,391500.0,2026-02,8,Friday,19500000
L00044,2026-02-21,S01,P013,1,135000,,Transfer,Cali,Hair Dryer,Personal Care,Cali Norte,Cali,Southwest,0.0,,,,135000,0.0,135000.0,2026-02,8,Saturday,19500000
L00045,2026-04-03,S01,P014,1,198000,,Cash,Cali,Electric Shaver,Personal Care,Cali Norte,Cali,Southwest,0.0,,,,198000,0.0,198000.0,2026-04,14,Friday,21500000
L00046,2026-02-04,S01,P008,1,78000,,Cash,Cali,USB-C Charger,Electronics,Cali Norte,Cali,Southwest,0.0,,,,78000,0.0,78000.0,2026-02,6,Wednesday,19500000
L00047,2026-04-26,S01,P009,2,92000,,Transfer,Cali,Desk Lamp LED,Home & Office,Cali Norte,Cali,Southwest,0.0,,,,184000,0.0,184000.0,2026-04,17,Sunday,21500000
L00048,2026-04-23,S01,P009,1,92000,,Transfer,Cali,Desk Lamp LED,Home & Office,Cali Norte,Cali,Southwest,0.0,,,,92000,0.0,92000.0,2026-04,17,Thursday,21500000
L00049,2026-02-01,S01,P003,1,175000,,Cash,Cali,Blender 500W,Small Appliances,Cali Norte,Cali,Southwest,0.0,,,,175000,0.0,175000.0,2026-02,5,Sunday,19500000
L00050,2026-04-02,S01,P014,1,198000,,Card,Cali,Electric Shaver,Personal Care,Cali Norte,Cali,Southwest,0.0,,,,198000,0.0,198000.0,2026-04,14,Thursday,21500000
L00051,2026-03-18,S01,P005,1,220000,PROMO12,Transfer,Cali,Wireless Headphones,Electronics,Cali Norte,Cali,Southwest,0.12,Audio Campaign,2026-03-15,2026-04-05,220000,26400.0,193600.0,2026-03,12,Wednesday,20500000
L00052,2026-02-28,S01,P010,1,115000,,Card,Cali,Ergonomic Mouse,Home & Office,Cali Norte,Cali,Southwest,0.0,,,,115000,0.0,115000.0,2026-02,9,Saturday,19500000
L00053,2026-04-01,S01,P008,1,78000,,Transfer,Cali,USB-C Charger,Electronics,Cali Norte,Cali,Southwest,0.0,,,,78000,0.0,78000.0,2026-04,14,Wednesday,21500000
L00054,2026-04-02,S01,P003,2,175000,,Transfer,Cali,Blender 500W,Small Appliances,Cali Norte,Cali,Southwest,0.0,,,,350000,0.0,350000.0,2026-04,14,Thursday,21500000
L00055,2026-03-25,S01,P005,1,220000,PROMO12,Card,Cali,Wireless Headphones,Electronics,Cali Norte,Cali,Southwest,0.12,Audio Campaign,2026-03-15,2026-04-05,220000,26400.0,193600.0,2026-03,13,Wednesday,20500000
L00056,2026-03-14,S01,P005,1,165000,,Transfer,Cali,Wireless Headphones,Electronics,Cali Norte,Cali,Southwest,0.0,,,,165000,0.0,165000.0,2026-03,11,Saturday,20500000
L00057,2026-03-28,S01,P005,2,220000,,Cash,Cali,Wireless Headphones,Electronics,Cali Norte,Cali,Southwest,0.0,,,,440000,0.0,440000.0,2026-03,13,Saturday,20500000
L00058,2026-04-03,S01,P008,3,78000,,Cash,Cali,USB-C Charger,Electronics,Cali Norte,Cali,Southwest,0.0,,,,234000,0.0,234000.0,2026-04,14,Friday,21500000
L00059,2026-03-27,S01,P012,1,35000,,Transfer,Cali,Notebook Pack,Home & Office,Cali Norte,Cali,Southwest,0.0,,,,35000,0.0,35000.0,2026-03,13,Friday,20500000
L00060,2026-03-25,S01,P010,1,115000,,Cash,Cali,Ergonomic Mouse,Home & Office,Cali Norte,Cali,Southwest,0.0,,,,115000,0.0,115000.0,2026-03,13,Wednesday,20500000
L00061,2026-04-09,S01,P005,1,220000,,Transfer,Cali,Wireless Headphones,Electronics,Cali Norte,Cali,Southwest,0.0,,,,220000,0.0,220000.0,2026-04,15,Thursday,21500000
L00062,2026-02-12,S01,P004,2,390000,,Cash,Cali,Air Fryer 4L,Small Appliances,Cali Norte,Cali,Southwest,0.0,,,,780000,0.0,780000.0,2026-02,7,Thursday,19500000
L00063,2026-02-25,S01,P002,1,285000,,Cash,Cali,Coffee Maker Premium,Small Appliances,Cali Norte,Cali,Southwest,0.0,,,,285000,0.0,285000.0,2026-02,9,Wednesday,19500000
L00064,2026-03-05,S01,P001,1,145000,,Cash,Cali,Coffee Maker Basic,Small Appliances,Cali Norte,Cali,Southwest,0.0,,,,145000,0.0,145000.0,2026-03,10,Thursday,20500000
L00065,2026-02-19,S01,P005,1,220000,,Card,Cali,Wireless Headphones,Electronics,Cali Norte,Cali,Southwest,0.0,,,,220000,0.0,220000.0,2026-02,8,Thursday,19500000
L00066,2026-03-06,S01,P008,1,78000,,Card,Cali,USB-C Charger,Electronics,Cali Norte,Cali,Southwest,0.0,,,,78000,0.0,78000.0,2026-03,10,Friday,20500000
L00067,2026-03-22,S01,P003,3,175000,,Cash,Cali,Blender 500W,Small Appliances,Cali Norte,Cali,Southwest,0.0,,,,525000,0.0,525000.0,2026-03,12,Sunday,20500000
L00068,2026-02-12,S01,P002,1,285000,,Transfer,Cali,Coffee Maker Premium,Small Appliances,Cali Norte,Cali,Southwest,0.0,,,,285000,0.0,285000.0,2026-02,7,Thursday,19500000
L00069,2026-03-13,S01,P010,1,115000,,Cash,Cali,Ergonomic Mouse,Home & Office,Cali Norte,Cali,Southwest,0.0,,,,115000,0.0,115000.0,2026-03,11,Friday,20500000
L00070,2026-03-26,S01,P005,1,220000,,Cash,Cali,Wireless Headphones,Electronics,Cali Norte,Cali,Southwest,0.0,,,,220000,0.0,220000.0,2026-03,13,Thursday,20500000
L00071,2026-04-23,S01,P009,1,92000,,Cash,Cali,Desk Lamp LED,Home & Office,Cali Norte,Cali,Southwest,0.0,,,,92000,0.0,92000.0,2026-04,17,Thursday,21500000
L00072,2026-02-07,S01,P005,1,220000,,Transfer,Cali,Wireless Headphones,Electronics,Cali Norte,Cali,Southwest,0.0,,,,220000,0.0,220000.0,2026-02,6,Saturday,19500000
L00073,2026-02-10,S01,P008,1,78000,,Transfer,Cali,USB-C Charger,Electronics,Cali Norte,Cali,Southwest,0.0,,,,78000,0.0,78000.0,2026-02,7,Tuesday,19500000
L00074,2026-02-12,S01,P012,2,35000,,Cash,Cali,Notebook Pack,Home & Office,Cali Norte,Cali,Southwest,0.0,,,,70000,0.0,70000.0,2026-02,7,Thursday,19500000
L00075,2026-03-05,S01,P012,3,35000,,Cash,Cali,Notebook Pack,Home & Office,Cali Norte,Cali,Southwest,0.0,,,,105000,0.0,105000.0,2026-03,10,Thursday,20500000
L00076,2026-04-24,S01,P010,1,115000,,Cash,Cali,Ergonomic Mouse,Home & Office,Cali Norte,Cali,Southwest,0.0,,,,115000,0.0,115000.0,2026-04,17,Friday,21500000
L00077,2026-02-14,S01,P014,2,198000,,Card,Cali,Electric Shaver,Personal Care,Cali Norte,Cali,Southwest,0.0,,,,396000,0.0,396000.0,2026-02,7,Saturday,19500000
L00078,2026-04-01,S01,P004,3,390000,,Card,Cali,Air Fryer 4L,Small Appliances,Cali Norte,Cali,Southwest,0.0,,,,1170000,0.0,1170000.0,2026-04,14,Wednesday,21500000
L00079,2026-03-30,S01,P012,1,35000,,Cash,Cali,Notebook Pack,Home & Office,Cali Norte,Cali,Southwest,0.0,,,,35000,0.0,35000.0,2026-03,14,Monday,20500000
L00080,2026-03-26,S01,P003,2,175000,,Card,Cali,Blender 500W,Small Appliances,Cali Norte,Cali,Southwest,0.0,,,,350000,0.0,350000.0,2026-03,13,Thursday,20500000
L00081,2026-03-02,S01,P010,1,115000,,Transfer,Cali,Ergonomic Mouse,Home & Office,Cali Norte,Cali,Southwest,0.0,,,,115000,0.0,115000.0,2026-03,10,Monday,20500000
L00082,2026-02-06,S01,P001,3,145000,,Card,Cali,Coffee Maker Basic,Small Appliances,Cali Norte,Cali,Southwest,0.0,,,,435000,0.0,435000.0,2026-02,6,Friday,19500000
L00083,2026-03-14,S01,P015,2,86000,,Card,Cali,Digital Scale,Personal Care,Cali Norte,Cali,Southwest,0.0,,,,172000,0.0,172000.0,2026-03,11,Saturday,20500000
L00084,2026-03-14,S01,P007,1,310000,,Transfer,Cali,Smartwatch Active,Electronics,Cali Norte,Cali,Southwest,0.0,,,,310000,0.0,310000.0,2026-03,11,Saturday,20500000
L00085,2026-02-09,S01,P012,1,35000,,Card,Cali,Notebook Pack,Home & Office,Cali Norte,Cali,Southwest,0.0,,,,35000,0.0,35000.0,2026-02,7,Monday,19500000
L00086,2026-02-25,S01,P005,2,220000,,Card,Cali,Wireless Headphones,Electronics,Cali Norte,Cali,Southwest,0.0,,,,440000,0.0,440000.0,2026-02,9,Wednesday,19500000
L00087,2026-03-04,S01,P010,2,115000,,Card,Cali,Ergonomic Mouse,Home & Office,Cali Norte,Cali,Southwest,0.0,,,,230000,0.0,230000.0,2026-03,10,Wednesday,20500000
L00088,2026-02-21,S01,P005,1,220000,,Card,Cali,Wireless Headphones,Electronics,Cali Norte,Cali,Southwest,0.0,,,,220000,0.0,220000.0,2026-02,8,Saturday,19500000
L00089,2026-04-08,S01,P004,1,390000,,Transfer,Cali,Air Fryer 4L,Small Appliances,Cali Norte,Cali,Southwest,0.0,,,,390000,0.0,390000.0,2026-04,15,Wednesday,21500000
L00090,2026-03-29,S01,P010,1,115000,,Transfer,Cali,Ergonomic Mouse,Home & Office,Cali Norte,Cali,Southwest,0.0,,,,115000,0.0,115000.0,2026-03,13,Sunday,20500000
L00091,2026-02-03,S01,P007,1,310000,,Cash,Cali,Smartwatch Active,Electronics,Cali Norte,Cali,Southwest,0.0,,,,310000,0.0,310000.0,2026-02,6,Tuesday,19500000
L00092,2026-04-08,S01,P013,2,135000,,Cash,Cali,Hair Dryer,Personal Care,Cali Norte,Cali,Southwest,0.0,,,,270000,0.0,270000.0,2026-04,15,Wednesday,21500000
L00093,2026-03-16,S01,P003,2,175000,,Cash,Cali,Blender 500W,Small Appliances,Cali Norte,Cali,Southwest,0.0,,,,350000,0.0,350000.0,2026-03,12,Monday,20500000
L00094,2026-02-14,S01,P005,1,220000,,Transfer,Cali,Wireless Headphones,Electronics,Cali Norte,Cali,Southwest,0.0,,,,220000,0.0,220000.0,2026-02,7,Saturday,19500000
L00095,2026-04-25,S01,P015,1,86000,,Card,Cali,Digital Scale,Personal Care,Cali Norte,Cali,Southwest,0.0,,,,86000,0.0,86000.0,2026-04,17,Saturday,21500000
L00096,2026-04-02,S01,P009,3,92000,,Cash,Cali,Desk Lamp LED,Home & Office,Cali Norte,Cali,Southwest,0.0,,,,276000,0.0,276000.0,2026-04,14,Thursday,21500000
L00097,2026-03-09,S01,P013,2,135000,,Cash,Cali,Hair Dryer,Personal Care,Cali Norte,Cali,Southwest,0.0,,,,270000,0.0,270000.0,2026-03,11,Monday,20500000
L00098,2026-02-04,S01,P005,1,220000,,Cash,Cali,Wireless Headphones,Electronics,Cali Norte,Cali,Southwest,0.0,,,,220000,0.0,220000.0,2026-02,6,Wednesday,19500000
L00099,2026-03-02,S01,P001,1,145000,,Card,Cali,Coffee Maker Basic,Small Appliances,Cali Norte,Cali,Southwest,0.0,,,,145000,0.0,145000.0,2026-03,10,Monday,20500000
L00100,2026-04-26,S01,P012,2,35000,,Cash,Cali,Notebook Pack,Home & Office,Cali Norte,Cali,Southwest,0.0,,,,70000,0.0,70000.0,2026-04,17,Sunday,21500000
L00101,2026-02-24,S01,P005,1,220000,,Cash,Cali,Wireless Headphones,Electronics,Cali Norte,Cali,Southwest,0.0,,,,220000,0.0,220000.0,2026-02,9,Tuesday,19500000
L00102,2026-03-12,S01,P005,2,220000,,Transfer,Cali,Wireless Headphones,Electronics,Cali Norte,Cali,Southwest,0.0,,,,440000,0.0,440000.0,2026-03,11,Thursday,20500000
L00103,2026-04-02,S01,P015,1,86000,,Transfer,Cali,Digital Scale,Personal Care,Cali Norte,Cali,Southwest,0.0,,,,86000,0.0,86000.0,2026-04,14,Thursday,21500000
L00104,2026-03-23,S01,P010,3,115000,,Card,Cali,Ergonomic Mouse,Home & Office,Cali Norte,Cali,Southwest,0.0,,,,345000,0.0,345000.0,2026-03,13,Monday,20500000
L00105,2026-02-28,S01,P005,1,220000,,Transfer,Cali,Wireless Headphones,Electronics,Cali Norte,Cali,Southwest,0.0,,,,220000,0.0,220000.0,2026-02,9,Saturday,19500000
L00106,2026-03-31,S01,P013,3,135000,,Cash,Cali,Hair Dryer,Personal Care,Cali Norte,Cali,Southwest,0.0,,,,405000,0.0,405000.0,2026-03,14,Tuesday,20500000
L00107,2026-03-08,S01,P010,2,115000,,Card,Cali,Ergonomic Mouse,Home & Office,Cali Norte,Cali,Southwest,0.0,,,,230000,0.0,230000.0,2026-03,10,Sunday,20500000
L00108,2026-04-11,S01,P007,2,310000,,Card,Cali,Smartwatch Active,Electronics,Cali Norte,Cali,Southwest,0.0,,,,620000,0.0,620000.0,2026-04,15,Saturday,21500000
L00109,2026-03-20,S01,P013,2,135000,,Card,Cali,Hair Dryer,Personal Care,Cali Norte,Cali,Southwest,0.0,,,,270000,0.0,270000.0,2026-03,12,Friday,20500000
L00110,2026-03-15,S01,P002,1,285000,,Transfer,Cali,Coffee Maker Premium,Small Appliances,Cali Norte,Cali,Southwest,0.0,,,,285000,0.0,285000.0,2026-03,11,Sunday,20500000
L00111,2026-02-27,S01,P003,1,175000,,Cash,Cali,Blender 500W,Small Appliances,Cali Norte,Cali,Southwest,0.0,,,,175000,0.0,175000.0,2026-02,9,Friday,19500000
L00112,2026-04-17,S01,P011,1,138000,,Transfer,Cali,Keyboard Compact,Home & Office,Cali Norte,Cali,Southwest,0.0,,,,138000,0.0,138000.0,2026-04,16,Friday,21500000
L00113,2026-04-15,S01,P013,1,135000,,Transfer,Cali,Hair Dryer,Personal Care,Cali Norte,Cali,Southwest,0.0,,,,135000,0.0,135000.0,2026-04,16,Wednesday,21500000
L00114,2026-03-04,S01,P008,2,78000,,Card,Cali,USB-C Charger,Electronics,Cali Norte,Cali,Southwest,0.0,,,,156000,0.0,156000.0,2026-03,10,Wednesday,20500000
L00115,2026-02-02,S01,P008,2,78000,,Cash,Cali,USB-C Charger,Electronics,Cali Norte,Cali,Southwest,0.0,,,,156000,0.0,156000.0,2026-02,6,Monday,19500000
L00116,2026-02-25,S01,P004,1,390000,,Transfer,Cali,Air Fryer 4L,Small Appliances,Cali Norte,Cali,Southwest,0.0,,,,390000,0.0,390000.0,2026-02,9,Wednesday,19500000
L00117,2026-03-08,S01,P001,1,145000,,Cash,Cali,Coffee Maker Basic,Small Appliances,Cali Norte,Cali,Southwest,0.0,,,,145000,0.0,145000.0,2026-03,10,Sunday,20500000
L00118,2026-04-22,S01,P005,3,220000,,Card,Cali,Wireless Headphones,Electronics,Cali Norte,Cali,Southwest,0.0,,,,660000,0.0,660000.0,2026-04,17,Wednesday,21500000
L00119,2026-04-21,S01,P006,2,165000,,Cash,Cali,Bluetooth Speaker,Electronics,Cali Norte,Cali,Southwest,0.0,,,,330000,0.0,330000.0,2026-04,17,Tuesday,21500000
L00120,2026-02-22,S01,P010,4,115000,,Card,Cali,Ergonomic Mouse,Home & Office,Cali Norte,Cali,Southwest,0.0,,,,460000,0.0,460000.0,2026-02,8,Sunday,19500000
L00121,2026-04-30,S01,P003,1,175000,,Transfer,Cali,Blender 500W,Small Appliances,Cali Norte,Cali,Southwest,0.0,,,,175000,0.0,175000.0,2026-04,18,Thursday,21500000
L00122,2026-03-10,S01,P006,1,165000,,Transfer,Cali,Bluetooth Speaker,Electronics,Cali Norte,Cali,Southwest,0.0,,,,165000,0.0,165000.0,2026-03,11,Tuesday,20500000
L00123,2026-04-23,S01,P010,3,115000,,Cash,Cali,Ergonomic Mouse,Home & Office,Cali Norte,Cali,Southwest,0.0,,,,345000,0.0,345000.0,2026-04,17,Thursday,21500000
L00124,2026-03-02,S01,P002,3,285000,,Cash,Cali,Coffee Maker Premium,Small Appliances,Cali Norte,Cali,Southwest,0.0,,,,855000,0.0,855000.0,2026-03,10,Monday,20500000
L00125,2026-03-13,S01,P001,2,145000,,Transfer,Cali,Coffee Maker Basic,Small Appliances,Cali Norte,Cali,Southwest,0.0,,,,290000,0.0,290000.0,2026-03,11,Friday,20500000
L00126,2026-03-15,S01,P015,2,86000,,Card,Cali,Digital Scale,Personal Care,Cali Norte,Cali,Southwest,0.0,,,,172000,0.0,172000.0,2026-03,11,Sunday,20500000
L00127,2026-02-27,S01,P012,1,35000,,Cash,Cali,Notebook Pack,Home & Office,Cali Norte,Cali,Southwest,0.0,,,,35000,0.0,35000.0,2026-02,9,Friday,19500000
L00128,2026-04-10,S01,P005,2,220000,,Card,Cali,Wireless Headphones,Electronics,Cali Norte,Cali,Southwest,0.0,,,,440000,0.0,440000.0,2026-04,15,Friday,21500000
L00129,2026-04-28,S01,P005,1,220000,,Transfer,Cali,Wireless Headphones,Electronics,Cali Norte,Cali,Southwest,0.0,,,,220000,0.0,220000.0,2026-04,18,Tuesday,21500000
L00130,2026-03-15,S01,P003,1,175000,,Transfer,Cali,Blender 500W,Small Appliances,Cali Norte,Cali,Southwest,0.0,,,,175000,0.0,175000.0,2026-03,11,Sunday,20500000
L00131,2026-02-26,S01,P001,1,145000,PROMO10,Transfer,Cali,Coffee Maker Basic,Small Appliances,Cali Norte,Cali,Southwest,0.1,Coffee Week,2026-02-10,2026-02-28,145000,14500.0,130500.0,2026-02,9,Thursday,19500000
L00132,2026-03-06,S01,P008,1,78000,,Transfer,Cali,USB-C Charger,Electronics,Cali Norte,Cali,Southwest,0.0,,,,78000,0.0,78000.0,2026-03,10,Friday,20500000
L00133,2026-04-08,S01,P010,2,115000,,Card,Cali,Ergonomic Mouse,Home & Office,Cali Norte,Cali,Southwest,0.0,,,,230000,0.0,230000.0,2026-04,15,Wednesday,21500000
L00134,2026-03-23,S01,P015,2,86000,,Cash,Cali,Digital Scale,Personal Care,Cali Norte,Cali,Southwest,0.0,,,,172000,0.0,172000.0,2026-03,13,Monday,20500000
L00135,2026-02-08,S01,P009,2,92000,,Cash,Cali,Desk Lamp LED,Home & Office,Cali Norte,Cali,Southwest,0.0,,,,184000,0.0,184000.0,2026-02,6,Sunday,19500000
L00136,2026-04-16,S01,P009,1,92000,,Card,Cali,Desk Lamp LED,Home & Office,Cali Norte,Cali,Southwest,0.0,,,,92000,0.0,92000.0,2026-04,16,Thursday,21500000
L00137,2026-02-25,S01,P011,3,138000,,Cash,Cali,Keyboard Compact,Home & Office,Cali Norte,Cali,Southwest,0.0,,,,414000,0.0,414000.0,2026-02,9,Wednesday,19500000
L00138,2026-03-19,S01,P001,1,145000,,Transfer,Cali,Coffee Maker Basic,Small Appliances,Cali Norte,Cali,Southwest,0.0,,,,145000,0.0,145000.0,2026-03,12,Thursday,20500000
L00139,2026-03-07,S01,P004,1,390000,PROMO15,Cash,Cali,Air Fryer 4L,Small Appliances,Cali Norte,Cali,Southwest,0.15,Kitchen Days,2026-03-01,2026-03-20,390000,58500.0,331500.0,2026-03,10,Saturday,20500000
L00140,2026-04-11,S01,P013,1,135000,PROMO20,Transfer,Cali,Hair Dryer,Personal Care,Cali Norte,Cali,Southwest,0.2,Personal Care Month,2026-04-01,2026-04-25,135000,27000.0,108000.0,2026-04,15,Saturday,21500000
